ID_database,Site,Ind,Eccentricity_index,CO_Wt,BI_CO_Wt,High_WD,High_WD_LW,Eccentricity
Bbe22_PIAB_Se1,Bbe22,Se1,2.2,27,75,47,20,45.45454545
Bbe22_PIAB_Se10,Bbe22,Se10,1.6,30,78,50,20,62.5
Bbe22_PIAB_Se2,Bbe22,Se2,1.9,22,80,48,26,52.63157895
Bbe22_PIAB_Se3,Bbe22,Se3,1.7,16,70,37,21,58.82352941
Bbe22_PIAB_Se4,Bbe22,Se4,2.9,23,75,34,11,34.48275862
Bbe22_PIAB_Se5,Bbe22,Se5,2.2,34,70,41,8,45.45454545
Bbe22_PIAB_Se6,Bbe22,Se6,2.1,13,72,36,23,47.61904762
Bbe22_PIAB_Se7,Bbe22,Se7,2.5,39,75,51,12,40
Bbe22_PIAB_Se8,Bbe22,Se8,3.5,27,75,36,9,28.57142857
Bbe22_PIAB_Se9,Bbe22,Se9,3.1,30,72,49,19,32.25806452
CH23_PIAB_Se1,CH23,Se1,1.6,20,103,42,22,62.5
CH23_PIAB_Se10,CH23,Se10,2.3,19,76,37,18,43.47826087
CH23_PIAB_Se2,CH23,Se2,2.1,35,98,43,7,47.61904762
CH23_PIAB_Se3,CH23,Se3,1.7,8,86,30,22,58.82352941
CH23_PIAB_Se4,CH23,Se4,1.6,24,81,38,14,62.5
CH23_PIAB_Se5,CH23,Se5,2.6,20,90,50,30,38.46153846
CH23_PIAB_Se6,CH23,Se6,1.7,33,99,39,5,58.82352941
CH23_PIAB_Se7,CH23,Se7,2,13,83,37,24,50
CH23_PIAB_Se9,CH23,Se9,1.9,33,93,43,10,52.63157895
DA23_PIAB_Se1,DA23,Se1,2.6,19,96,44,25,38.46153846
DA23_PIAB_Se10,DA23,Se10,1.6,27,98,40,13,62.5
DA23_PIAB_Se2,DA23,Se2,2.3,20,90,31,12,43.47826087
DA23_PIAB_Se4,DA23,Se4,1.4,10,85,38,28,71.42857143
DA23_PIAB_Se5,DA23,Se5,1.2,13,87,34,21,83.33333333
DA23_PIAB_Se6,DA23,Se6,2.4,14,75,35,20,41.66666667
DA23_PIAB_Se7,DA23,Se7,1.3,30,94,37,7,76.92307692
DA23_PIAB_Se8,DA23,Se8,1.7,17,90,27,10,58.82352941
DA23_PIAB_Se9,DA23,Se9,1.9,40,85,52,12,52.63157895
JE22_PIAB_Se1,JE22,Se1,2,9,75,27,18,50
JE22_PIAB_Se10,JE22,Se10,1.1,12,81,50,38,90.90909091
JE22_PIAB_Se2,JE22,Se2,1.8,10,87,42,32,55.55555556
JE22_PIAB_Se3,JE22,Se3,1.5,19,90,39,20,66.66666667
JE22_PIAB_Se4,JE22,Se4,1.1,2,81,54,52,90.90909091
JE22_PIAB_Se5,JE22,Se5,1,17,90,29,12,100
JE22_PIAB_Se6,JE22,Se6,1.5,10,90,55,44,66.66666667
JE22_PIAB_Se7,JE22,Se7,1.1,7,79,35,28,90.90909091
JE22_PIAB_Se8,JE22,Se8,3.1,19,77,32,14,32.25806452
JE22_PIAB_Se9,JE22,Se9,2.1,15,82,48,32,47.61904762
KR22_PIAB_Se10,KR22,Se10,2.3,43,83,52,9,43.47826087
KR22_PIAB_Se4,KR22,Se4,1.2,5,90,32,27,83.33333333
KR22_PIAB_Se6,KR22,Se6,1.4,22,85,34,12,71.42857143
KR22_PIAB_Se7,KR22,Se7,2.1,30,76,49,18,47.61904762
KR22_PIAB_Se8,KR22,Se8,1.3,15,78,23,8,76.92307692
KR22_PIAB_Se9,KR22,Se9,1.3,25,82,36,11,76.92307692
PA23_PIAB_Se1,PA23,Se1,1.4,11,95,27,16,71.42857143
PA23_PIAB_Se10,PA23,Se10,1.2,17,83,37,20,83.33333333
PA23_PIAB_Se2,PA23,Se2,1.2,4,95,27,23,83.33333333
PA23_PIAB_Se3,PA23,Se3,3,12,100,32,21,33.33333333
PA23_PIAB_Se4,PA23,Se4,3.3,20,100,36,15,30.3030303
PA23_PIAB_Se5,PA23,Se5,1.1,26,103,39,12,90.90909091
PA23_PIAB_Se6,PA23,Se6,1.8,31,84,47,16,55.55555556
PA23_PIAB_Se7,PA23,Se7,2,14,96,31,17,50
PA23_PIAB_Se8,PA23,Se8,1.8,24,95,34,10,55.55555556
PA23_PIAB_Se9,PA23,Se9,1.9,20,83,48,29,52.63157895
VT22_PIAB_Se6,VT22,Se6,1.4,36,85,43,7,71.42857143
VT22_PIAB_Se7,VT22,Se7,1.8,30,75,39,8,55.55555556
VT22_PIAB_Se4,VT22,Se4,2.6,29,68,47,18,38.46153846
VT22_PIAB_Se10,VT22,Se10,2.9,40,78,53,14,34.48275862
VT22_PIAB_Se2,VT22,Se2,2,30,80,42,13,50
